fips,pop2014
01001,55136.0
01003,191205.0
01005,27119.0
01007,22653.0
01009,57645.0
01011,10693.0
01013,20523.0
01015,117186.0
01017,34091.0
01019,26042.0
01021,43781.0
01023,13546.0
01025,25331.0
01027,13617.0
01029,14990.0
01031,50726.0
01033,54491.0
01035,12985.0
01037,11247.0
01039,37881.0
01041,13938.0
01043,80668.0
01045,50013.0
01047,42743.0
01049,71074.0
01051,80321.0
01053,38042.0
01055,104126.0
01057,17019.0
01059,31663.0
01061,26816.0
01063,8798.0
01065,15393.0
01067,17270.0
01069,103079.0
01071,53012.0
01073,658834.0
01075,14268.0
01077,92780.0
01079,33835.0
01081,147790.0
01083,87167.0
01085,10918.0
01087,20505.0
01089,343229.0
01091,20489.0
01093,30527.0
01095,94121.0
01097,414045.0
01099,22509.0
01101,228850.0
01103,119744.0
01105,10203.0
01107,19629.0
01109,33216.0
01111,22724.0
01113,56980.0
01115,85242.0
01117,201168.0
01119,13433.0
01121,81673.0
01123,41295.0
01125,198670.0
01127,66211.0
01129,17137.0
01131,11367.0
01133,24256.0
02013,3296.0
02016,5650.0
02020,298178.0
02050,17576.0
02060,995.0
02068,2048.0
02070,4956.0
02090,99319.0
02100,2557.0
02105,2126.0
02110,32200.0
02122,56687.0
02130,13676.0
02150,13924.0
02164,1490.0
02170,93843.0
02180,9792.0
02185,9618.0
02188,7672.0
02195,3212.0
02198,6356.0
02220,8957.0
02230,996.0
02240,7044.0
02261,9685.0
02270,7778.0
02275,2383.0
02282,635.0
02290,5651.0
04001,72142.0
04003,130807.0
04005,135817.0
04007,53242.0
04009,37311.0
04011,8800.0
04012,20348.0
04013,3947382.0
04015,202482.0
04017,107489.0
04019,993144.0
04021,390160.0
04023,47250.0
04025,213689.0
04027,201453.0
05001,18861.0
05003,21437.0
05005,41154.0
05007,232611.0
05009,37169.0
05011,11316.0
05013,5266.0
05015,27626.0
05017,11489.0
05019,22800.0
05021,15577.0
05023,25793.0
05025,8597.0
05027,24400.0
05029,21175.0
05031,99835.0
05033,61825.0
05035,50172.0
05037,17595.0
05039,7954.0
05041,12602.0
05043,18705.0
05045,117804.0
05047,17960.0
05049,12218.0
05051,96804.0
05053,18014.0
05055,42970.0
05057,22419.0
05059,33277.0
05061,13685.0
05063,36861.0
05065,13522.0
05067,17746.0
05069,74655.0
05071,25791.0
05073,7391.0
05075,17163.0
05077,10151.0
05079,14113.0
05081,12852.0
05083,22129.0
05085,70118.0
05087,15696.0
05089,16534.0
05091,43537.0
05093,45385.0
05095,7855.0
05097,9296.0
05099,8877.0
05101,8131.0
05103,25421.0
05105,10350.0
05107,20847.0
05109,11187.0
05111,24359.0
05113,20454.0
05115,62687.0
05117,8475.0
05119,388752.0
05121,17794.0
05123,27642.0
05125,111811.0
05127,11024.0
05129,8036.0
05131,126801.0
05133,17250.0
05135,17117.0
05137,12531.0
05139,40954.0
05141,17090.0
05143,212238.0
05145,78275.0
05147,7094.0
05149,21934.0
06001,1559308.0
06003,1202.0
06005,37159.0
06007,221578.0
06009,44921.0
06011,21424.0
06013,1081232.0
06015,28066.0
06017,181465.0
06019,948844.0
06021,28019.0
06023,134876.0
06025,177026.0
06027,18439.0
06029,857730.0
06031,151390.0
06033,64209.0
06035,33356.0
06037,9974203.0
06039,152452.0
06041,256802.0
06043,17946.0
06045,87612.0
06047,261609.0
06049,9335.0
06051,14193.0
06053,424927.0
06055,139253.0
06057,98606.0
06059,3086331.0
06061,361518.0
06063,19286.0
06065,2266899.0
06067,1450277.0
06069,56888.0
06071,2078586.0
06073,3183143.0
06075,829072.0
06077,701050.0
06079,274184.0
06081,739837.0
06083,431555.0
06085,1841569.0
06087,267203.0
06089,178520.0
06091,3019.0
06093,44261.0
06095,421624.0
06097,491790.0
06099,522794.0
06101,95067.0
06103,63284.0
06105,13515.0
06107,451108.0
06109,54347.0
06111,835790.0
06113,204162.0
06115,73059.0
08001,461558.0
08003,16111.0
08005,596684.0
08007,12132.0
08009,3735.0
08011,6e3
08013,305166.0
08014,59027.0
08015,18121.0
08017,2153.0
08019,9114.0
08021,8276.0
08023,3578.0
08025,5558.0
08027,4274.0
08029,30378.0
08031,633777.0
08033,1736.0
08035,299794.0
08037,52233.0
08039,23545.0
08041,645707.0
08043,46879.0
08045,56684.0
08047,5557.0
08049,14478.0
08051,15503.0
08053,871.0
08055,6550.0
08057,1389.0
08059,546162.0
08061,1407.0
08063,8122.0
08065,7311.0
08067,52547.0
08069,311435.0
08071,14789.0
08073,5462.0
08075,22604.0
08077,147509.0
08079,704.0
08081,13286.0
08083,25569.0
08085,40885.0
08087,28342.0
08089,18712.0
08091,4532.0
08093,16174.0
08095,4385.0
08097,17303.0
08099,12359.0
08101,160757.0
08103,6739.0
08105,11840.0
08107,23428.0
08109,6211.0
08111,653.0
08113,7597.0
08115,2365.0
08117,28482.0
08119,23363.0
08121,4781.0
08123,265066.0
08125,10131.0
09001,934215.0
